H1_dB,H2_dB,H3_dB,U1_dB,U2_dB,U3_dB,Unsafe_1s
-85.84957042,-86.80803309,-86.88072183,-86.1193437,-86.73174528,-86.83080398,0
-85.72196298,-86.80211642,-86.88300767,-85.72485769,-86.5660003,-86.74935143,0
-85.47421424,-86.75224656,-86.83723704,-86.36348787,-86.74758446,-86.96904189,0
-84.87078981,-86.82273115,-86.81310361,-85.68353137,-86.6930559,-86.85488901,0
-83.97781804,-86.70811442,-86.76487825,-85.29076711,-86.6761533,-86.82865509,0
-83.32711206,-86.56648578,-86.78308247,-86.12351901,-86.51620945,-86.79270168,0
-82.74206532,-86.66869758,-86.70337077,-85.93597837,-86.60926474,-86.87869896,0
-82.36261335,-86.55823867,-86.73023071,-85.94607866,-86.76450925,-86.84717584,0
-81.64900864,-86.4915542,-86.79397684,-85.79978661,-86.77730986,-86.89602841,0
-81.19600519,-86.24485065,-86.71976583,-84.25978777,-86.59982344,-86.8511526,0
-80.7024141,-86.08429219,-86.50722609,-83.47706676,-86.54660454,-86.81038046,0
-80.53733404,-85.80561961,-86.69574835,-85.00698753,-86.70109406,-86.85191579,0
-79.96245947,-85.58949785,-86.68638175,-84.09266371,-86.73102064,-86.83667611,0
-79.5992715,-85.18449554,-86.69304014,-83.05648642,-86.70264453,-86.84234132,0
-78.62004164,-84.6538061,-86.48260276,-82.99379202,-86.66471255,-86.79014141,0
-78.36568502,-83.93894666,-86.41709096,-81.43732103,-86.6809854,-86.79257957,0
-76.30420979,-83.16555853,-86.13853329,-81.02721245,-86.47452269,-86.76699856,0
-74.88980003,-82.35676038,-85.90228593,-78.78614448,-86.67438312,-86.76583158,0
-75.69803876,-81.5670067,-85.84447368,-79.18958822,-86.55812735,-86.81628061,0
-73.44472934,-80.52614483,-85.11521985,-77.16747396,-86.53388913,-86.82858632,0
-73.94119345,-79.31100329,-85.30525997,-77.84191919,-86.57516535,-86.74361617,0
-72.82035902,-78.01180803,-84.65129708,-75.5759044,-86.64097142,-86.71377536,0
-72.76213477,-76.89716323,-84.56760902,-75.16135017,-86.40344414,-86.73771239,0
-71.70246405,-75.39688855,-83.7945238,-73.60121904,-86.45531246,-86.67449657,0
-72.39719394,-74.06438502,-84.50932527,-73.9784976,-86.38644308,-86.55590455,0
-72.35229151,-73.10926094,-83.93661184,-74.05646224,-86.36666267,-86.57882249,0
